class,batch,sample,hand_count,hand_types,timestamp,lm_0,lm_1,lm_2,lm_3,lm_4
S,8,1,2,"Left,Right",2025-12-06T10:58:36.060101,-1,0.15767142176628113,0.7933714389801025,4.994505431454854e-08,0.2700071334838867
S,8,2,2,"Left,Right",2025-12-06T10:58:36.595885,-1,0.1616317331790924,0.7971624135971069,3.509089196995774e-08,0.2689587473869324
S,8,3,2,"Left,Right",2025-12-06T10:58:37.128999,-1,0.15741658210754395,0.7992704510688782,3.154797312276969e-08,0.26560088992118835
S,8,4,2,"Left,Right",2025-12-06T10:58:37.674523,-1,0.15367548167705536,0.7974874377250671,1.0631621805146096e-08,0.263322114944458
S,8,5,2,"Left,Right",2025-12-06T10:58:38.235148,-1,0.157422736287117,0.800618588924408,2.0998724536980262e-08,0.2674977779388428
S,8,6,2,"Left,Right",2025-12-06T10:58:38.798223,-1,0.16098521649837494,0.804618775844574,2.5614887988467672e-08,0.2712932229042053
S,8,7,2,"Left,Right",2025-12-06T10:58:39.373210,-1,0.16492746770381927,0.8122551441192627,9.997161320995929e-09,0.276445597410202
S,8,8,2,"Left,Right",2025-12-06T10:58:39.930150,-1,0.16437183320522308,0.8103424906730652,-4.987648960508295e-09,0.2762592136859894
S,8,9,2,"Left,Right",2025-12-06T10:58:40.499086,-1,0.15851272642612457,0.8140904903411865,-2.9373763865692126e-08,0.2711185812950134
S,8,10,2,"Left,Right",2025-12-06T10:58:41.042961,-1,0.16027064621448517,0.8161537647247314,6.939500973857093e-09,0.272061288356781
